Customer_Age,Gender,Dependent_count,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,High_Utilization,Activity_Decline,Low_Engagement,Avg_Transaction_Amount,Credit_Dependency,High_Value_Customer,Multi_Product_User,Education_Level_Doctorate,Education_Level_Graduate,Education_Level_High School,Education_Level_Post-Graduate,Education_Level_Uneducated,Education_Level_Unknown,Marital_Status_Married,Marital_Status_Single,Marital_Status_Unknown,Income_Category_$40K - $60K,Income_Category_$60K - $80K,Income_Category_$80K - $120K,Income_Category_Less than $40K,Income_Category_Unknown,Card_Category_Gold,Card_Category_Platinum,Card_Category_Silver,Attrition_Flag
54,0,1,36,1,3,3,3723.0,1728,1995.0,0.595,8554,99,0.678,0.464,0,1,0,86.4040404040404,0.4641418211120064,1,0,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,0
58,0,4,48,1,4,3,5396.0,1803,3593.0,0.493,2107,39,0.393,0.334,0,1,0,54.02564102564103,0.3341363973313566,0,0,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,1
45,0,4,36,6,1,3,15987.0,1648,14339.0,0.732,1436,36,1.25,0.103,0,0,0,39.888888888888886,0.1030837555513855,0,1,False,False,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False,0
34,0,2,36,4,3,4,3625.0,2517,1108.0,1.158,2616,46,1.3,0.694,0,0,0,56.869565217391305,0.6943448275862069,0,1,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,0
49,0,2,39,5,3,4,2720.0,1926,794.0,0.602,3806,61,0.794,0.708,1,1,0,62.39344262295082,0.7080882352941177,0,1,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,0
60,0,0,45,5,2,4,1438.3,648,790.3,0.477,1267,27,1.077,0.451,0,1,0,46.92592592592592,0.4505318779114232,0,1,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,0
43,0,4,28,2,2,1,2838.0,1934,904.0,0.873,8644,87,0.554,0.681,0,1,0,99.35632183908046,0.6814658210007047,1,0,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,0
52,0,2,45,3,1,3,3476.0,1560,1916.0,0.894,3496,58,0.871,0.449,0,0,0,60.27586206896552,0.4487917146144994,0,0,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,0
30,1,0,36,3,3,2,2550.0,1623,927.0,0.65,1870,51,0.275,0.636,0,1,1,36.66666666666666,0.6364705882352941,0,0,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,0
33,0,3,36,5,2,3,1457.0,0,1457.0,0.677,2200,45,0.364,0.0,0,1,0,48.888888888888886,0.0,0,1,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,1
29,1,0,15,2,1,3,8022.0,0,8022.0,0.381,5660,59,0.735,0.0,0,1,0,95.9322033898305,0.0,1,0,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,1
57,1,2,36,5,3,3,4316.0,0,4316.0,0.363,1920,53,0.472,0.0,0,1,0,36.22641509433962,0.0,0,1,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,1
28,0,0,15,2,2,2,23103.0,897,22206.0,0.913,14049,120,0.714,0.039,0,0,0,117.075,0.0388261264770809,1,0,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0
38,1,2,36,3,3,3,6692.0,2037,4655.0,0.401,1468,36,0.241,0.304,0,1,0,40.77777777777778,0.3043933054393305,0,0,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,0
49,0,5,36,6,2,2,34516.0,2019,32497.0,0.614,3820,72,0.532,0.058,0,1,0,53.05555555555556,0.0584946111948082,0,1,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,0
44,0,3,40,6,2,2,2232.0,2002,230.0,1.107,3803,68,0.511,0.897,1,1,0,55.9264705882353,0.8969534050179212,0,1,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,0
38,1,2,36,6,2,3,3782.0,0,3782.0,0.717,14977,117,0.721,0.0,0,0,0,128.008547008547,0.0,1,1,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,0
32,1,3,20,6,2,2,14244.0,1673,12571.0,0.699,2729,66,0.535,0.117,0,1,0,41.34848484848485,0.1174529626509407,0,1,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,0
44,1,4,32,2,4,2,23957.0,2102,21855.0,0.997,1276,26,0.733,0.088,0,0,1,49.07692307692308,0.087740535125433,0,0,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,0
46,0,1,35,5,3,3,2197.0,461,1736.0,0.636,1955,42,0.448,0.21,0,1,0,46.54761904761905,0.2098315885298133,0,1,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,1
46,0,3,39,4,1,2,6644.0,2082,4562.0,0.915,4659,76,0.854,0.313,0,0,0,61.30263157894737,0.3133654425045153,0,1,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,0
47,0,5,42,2,1,2,2519.0,1584,935.0,0.76,8852,95,0.759,0.629,0,0,0,93.17894736842103,0.62882096069869,1,0,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,0
44,0,1,36,6,3,3,3052.0,0,3052.0,0.868,2598,47,0.469,0.0,0,1,0,55.27659574468085,0.0,0,1,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,1
43,0,0,37,3,1,4,6380.0,1160,5220.0,0.753,17119,124,0.797,0.182,0,0,0,138.05645161290323,0.1818181818181818,1,0,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,0
49,0,0,37,5,2,3,1749.0,0,1749.0,1.006,2510,38,0.407,0.0,0,1,0,66.05263157894737,0.0,0,1,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,1
